  Participantes |  Nota  | Acertos 
----------------+-------+--------
              0 |   0.00 |    0    
              3 |   0.25 |    1    
              9 |   0.50 |    2    
             17 |   0.75 |    3    
             26 |   1.00 |    4    
             35 |   1.25 |    5    
             44 |   1.50 |    6    
             52 |   1.75 |    7    
             59 |   2.00 |    8    
             64 |   2.25 |    9    
             68 |   2.50 |    10   
             71 |   2.75 |    11   
             73 |   3.00 |    12   
             73 |   3.25 |    13   
             72 |   3.50 |    14   
             70 |   3.75 |    15   
             67 |   4.00 |    16   
             64 |   4.25 |    17   
             59 |   4.50 |    18   
             55 |   4.75 |    19   
             50 |   5.00 |    20   
             44 |   5.25 |    21   
             39 |   5.50 |    22   
             34 |   5.75 |    23   
             29 |   6.00 |    24   
             24 |   6.25 |    25   
             20 |   6.50 |    26   
             16 |   6.75 |    27   
             12 |   7.00 |    28   
              9 |   7.25 |    29   
              7 |   7.50 |    30   
              5 |   7.75 |    31   
              3 |   8.00 |    32   
              2 |   8.25 |    33   
              1 |   8.50 |    34   
              1 |   8.75 |    35   
              0 |   9.00 |    36   
              0 |   9.25 |    37   
              0 |   9.50 |    38   
              0 |   9.75 |    39   
              0 |  10.00 |    40   
